sub_id,dynamic_pre,dynamic_post,static_pre,static_post,control_pre,control_post
1,21.77,23.48,24.35,23.6,22.42,20.69
2,37.82,41.68,35.59,37.09,39.2,39.97
3,19.61,19.61,19.07,19.61,21.28,21.22
4,37.75,38.48,34.84,39.35,34.11,34.86
5,38.48,39.94,37.07,40.08,35.59,37.82
6,39.48,40.94,33.63,35.61,34.11,34.86
